date,precip,pet,q_obs
1980-01-01,0.0,0.05,1.4289999999999972
1980-01-02,0.02,0.06,1.2289999999999985
1980-01-03,0.0,0.0,1.2289999999999985
1980-01-04,0.0,0.0,1.1429999999999987
1980-01-05,0.0,0.0,1.0289999999999997
1980-01-06,0.06,0.0,1.0569999999999984
1980-01-07,0.57,0.0,0.9999999999999972
1980-01-08,0.03,0.0,0.9709999999999985
1980-01-09,0.02,0.0,0.9709999999999985
1980-01-10,0.02,0.0,0.9429999999999997
1980-01-11,3.75,0.09,1.0569999999999984
1980-01-12,13.13,0.08,1.2859999999999996
1980-01-13,0.0,0.0,1.1999999999999997
1980-01-14,2.68,0.11,1.1139999999999997
1980-01-15,1.3,0.17,1.1429999999999987
1980-01-16,0.0,0.11,0.9999999999999972
1980-01-17,0.0,0.12,0.9139999999999974
1980-01-18,0.0,0.16,0.9139999999999974
1980-01-19,0.01,0.11,0.9139999999999974
1980-01-20,0.76,0.03,0.8859999999999987
1980-01-21,0.66,0.0,0.9429999999999997
1980-01-22,0.18,0.0,0.8569999999999997
1980-01-23,1.34,0.06,0.8569999999999997
1980-01-24,0.17,0.0,0.7999999999999986
1980-01-25,0.32,0.0,0.8289999999999975
1980-01-26,0.44,0.0,0.7709999999999998
1980-01-27,0.33,0.0,0.7139999999999986
1980-01-28,0.0,0.0,0.6859999999999998
1980-01-29,0.53,0.0,0.6569999999999975
1980-01-30,0.0,0.0,0.6289999999999986
1980-01-31,0.0,0.0,0.5999999999999999
1980-02-01,0.0,0.0,0.5709999999999975
1980-02-02,0.0,0.0,0.5429999999999987
1980-02-03,0.16,0.0,0.5139999999999998
1980-02-04,0.0,0.0,0.48599999999999755
1980-02-05,0.0,0.0,0.4569999999999987
1980-02-06,0.02,0.0,0.42899999999999994
1980-02-07,0.0,0.0,0.42899999999999994
1980-02-08,0.0,0.0,0.3999999999999975
1980-02-09,0.0,0.0,0.37099999999999866
1980-02-10,0.0,0.0,0.37099999999999866
1980-02-11,1.06,0.0,0.3429999999999999
1980-02-12,0.13,0.0,0.3429999999999999
1980-02-13,0.0,0.0,0.3429999999999999
1980-02-14,0.0,0.01,0.31399999999999756
1980-02-15,2.8,0.0,0.31399999999999756
1980-02-16,13.82,0.0,0.31399999999999756
1980-02-17,0.03,0.0,0.31399999999999756
1980-02-18,0.0,0.0,0.2859999999999988
1980-02-19,0.0,0.0,0.2799999999999983
1980-02-20,0.0,0.11,0.27399999999999775
1980-02-21,0.78,0.14,0.2629999999999969
1980-02-22,3.36,0.06,0.2569999999999999
1980-02-23,0.81,0.14,0.2509999999999994
1980-02-24,1.9,0.12,0.245999999999999
1980-02-25,0.0,0.08,0.23999999999999852
1980-02-26,0.07,0.0,0.23399999999999802
1980-02-27,1.86,0.0,0.22899999999999762
1980-02-28,0.48,0.0,0.22899999999999762
1980-02-29,0.26,0.0,0.22299999999999714
1980-03-01,0.04,0.0,0.22299999999999714
1980-03-02,0.0,0.0,0.22299999999999714
1980-03-03,0.0,0.0,0.2169999999999966
1980-03-04,0.0,0.0,0.2169999999999966
